Player Name,Team,Assist,Ball Recovery,Block,Block Cross,Clearance,Create Chance,Cross,Dribble Success,Foul,Fouled,Free Kick,Goal,Header Won,Intercept,Own Goal,Passing,Penalty Goal,Saves,Shoot Off Target,Shoot On Target,Tackle,Yellow Card
FUAT DAPO SULE,PERSIS SOLO,,,,1,1,,,,2,2,,,1,3,,,,,,,3,
GEORGE PETER BROWN,PSBS BIAK,,,,,,,,,,,1,,,,,,,,,,3,
GERVANE ZJANDRIC ADONNIS KASTANEER,PERSIS SOLO,,,1,,,,,,3,,,,1,,,,,,3,1,3,1
GHULAM FATKUR RAHMAN,PSIM YOGYAKARTA,,4,,,,,,3,2,9,1,,2,3,,70,,,,,5,1
GINANJAR WAHYU RAMADHANI,BHAYANGKARA PRESISI LAMPUNG FC,,,,,,1,1,,,,,,,,,,,,,,,
GIOVANI JORIM HERZON DACOSTA NUMBERI,PERSIS SOLO,1,4,1,,5,,2,3,3,,1,,3,6,,112,,,,,7,
GUSTAVO FRANCA AMADIO,PERSIJA JAKARTA,,,,,,4,,1,,1,4,1,,,,,,,6,2,1,
GUSTAVO MORENO DE FRANCA,MALUT UNITED FC,,,8,,14,,,,2,,9,,4,12,,78,,,,,4,1
HANIF ABDURRAUF SJAHBANDI,PERSIJA JAKARTA,,,,,,,,,,,,,,,,,,,,,1,
HANSAMU YAMA PRANATA,PERSIJA JAKARTA,,,,,1,,,,,,,,,,,,,,,,,
HENHEN HERDIANA,PERSIB BANDUNG,,2,1,,,,,,1,,1,,,3,,,,,,,2,
HERI SUSANTO,PSBS BIAK,,2,,,,1,,1,3,4,,,3,,,,,,2,,2,
HERWIN TRI SAPUTRA,SEMEN PADANG FC,,,2,,3,,,,,,,,,2,,,,,,,,1
HILMAN SYAH,PSM MAKASSAR,,,,,,,,,,,12,,,,,24,,4,,,,
HOKKY CARAKA BINTANG BRILLIANT,PERSITA,,1,,,,,,1,3,4,,,,,,,,,2,1,2,
HUGO GOMES DOS SANTOS SILVA,DEWA UNITED BANTEN FC,,1,,1,2,,,,4,7,5,,,8,,136,,,1,,5,1
HUGO SAMIR,PERSIK KEDIRI,,,,,,,,1,,,,,1,,,,,,,,,
